email,time_project
9faa1e33ae2fbcdaeaf2f9b58dcf3652251a2c18,28
b0a31841d0e20e10af34302a95400ce9b55d8768,8
5b916fc64cddc0f2896ffccd021ed0d71a45bf88,20-25
d6a0f54959b780453c031841a0291075132129a8,30
1bf016468ff8051a3d64e919b8d9d722bcce9241,80
4690926931b270c7c7755a78d58419f5d530839e,4
d84c484cbe800e0415bea66daf5239a9f30a4874,2 weeks
3ed3507a04945d82e38b0791a5d15ed75575ab7b,48
03f89068708fa9b2cf577319b92225536bfb5c0d,40
18643e2ccea218107a508913916cf20f27784525,2 weeks
1e02f04486740ef23f28356f05f5446418aded01,40
c62b5111f0f2d8f4082ffd282a98bdb2e5983f55,15
39750257bda03d87263bc9d3053b0aa82a60aea6,>40
7d16eecc0f2975f53527061e23edd3c8f28cdb45,2weeks
afeecc7b73aab7323bad7611a258a25a98217d7c,10-15
ad85815de55795cd71d6b8571f91c835dbb6bf85,48
aab4d2c3f136fe33b32e9cf7dc76833f8baf5f92,15
2e6efbc36cfe4f6dd9577ec632044e195fb83a6d,8
18c0c35d16c3fbeb3970b6503f8e4d88e42d6440,20
ec18a2433a73ffd6db65a3654570c4b25bf9161a,12
7d0d964bda0432a477b6e841fbf8491974e6696a,30
5241b301533a804f96378fffe30bf6be811369a2,4
922efb9887cc5564b55a4c9156ea294b8f4e5081,A few days
6cd1fbe023204fb29f21ea61e2988010b662ca03,
fa788280a9438fdabea1778c9547b671b35e1cdf,50-60
ef96d3e6eb8623a19be9129416b8de11ad54000c,20
1571075386c6f26357b5555b47695e291bc9b5b4,
d2ab8c5502963fbafa33793f8c053837c8a77210,
d7f64883f9c5b6f8c8a6808181477e7e9f7c44ee,30h
960029e252fb0189a24deef5436733f0a740aba9,20
69551ce443c2e2fcbb200c3d8ee4a05356a1e15a,40
71bf868616dc4de1bf3bd9990d7708662e9f4ba7,25
442543fe0e54fdfb6170311692d12968bbf022da,24
28ba133c13b8a7620091f4946c1017b732fdc8b1,72
c9732ea56e2413bdc2f4bb58e2b00ea4f0647685,25
b259c243d5e370bad664a2350e857101c9a962b1,20
eec3dd8e702c603a7acc2f42c5c37e320ad8c1f2,80
2a1671d844c2c788e7bc81d49d43999783f01a75,
b4f5a99b1c05a9efdd90bfa50c4b353b1c11e985,50
df96f0e1dd73e151b7d0dedefc2edc43c09e949c,30
ad527a97e429491850389dd0b0c3ba7400a1125d,100
4bea4e78d5bd4fb9974311ad776fd391bf5ac23b,240
8da318f227b759822b915c9dfd294af5e166e7a4,40
fe84f7538a2c1931e2fa60728bb8f69e91b4f619,7 days
e3636f2031f8ce09bb9ee6c52086ba7310f22c71,20-25
9ee2431d165930f23de05a8f1989ee203a0930ec,20hrs
8b95e39e2597b6e7f0f8bd106343e5c9e6dcf81b,60
51bb171b62b5c883075c79e69c2534088bc01e3e,360
84c03d86d893ff9b659446de79be94e9f4ffebfe,12
05376f3eb618acfa90860a5d503758096f40eb93,16
ef2ca90595cec611a6db8ec9ffd0d04aad0525ae,
db6b4ba6f0ee9ad9fde595368ea8c82bf4de0d00,40
e2d40a4b157a214b2143252fd831cecbbac15d2c,8
8b4ae4641bbc8c2fb65e78c17bdaede38d96d3df,20
4c5ed9428998b9e9eb831be27ae1c5bb179e3d9c,20
f45474cd2719ca2aba6cd457afab925f17b44738,20
9281c00930dbaaee1ec55918ee6962f6c0a265ab,
27d49bcdab95af7ab16dad982bca879e8ceb9c70,16
ea6888eacaa5fb709d0500106b424618c466d7a4,20 hours (including instructions creation)
1f826aadeaabf4da479255a43ecd6ede8881d1c1,
b11786890c6cf22f794aad024e3df3eb8f5bb5ea,20
3f345f70b8fa406947d1bde6dfca79b4e1727edb,40
9acae883b1e143971c383ca989b114c09beedb3c,12
c3e819ba376df525ec3c0b580f684aaf4ad1180a,
51237e25ee99d4a65299ae6b1fee4081a2ad592c,
8dee43d7d6fea02609d1248b6619aec3c1591a03,35
