email,time_homework,time_lectures
9e27b26a55a0f89e814f2c627d952a9e6a010848,2.0,5.0
27de3adde9d5721bf9609ed247f9b5b1dcbd5b71,8.0,4.0
1acdd3e334225ab6d4e43a8b703760dd6f560d2d,2.0,4.0
aa962775cc86a25c9dc150e8b7230dc037ce2b93,0.5,0.25
9ae9e3809dadef91f20a2fdc18e268aea9d6a9f8,1.0,4.0
6ad2bc726af8a0057cc60cd20701433264ddbd80,1.0,4.0
76b44a94c13e98780f438868d889d40499619723,4.0,20.0
d4a2e1816639edc615cbe052234ec159e871cefc,2.0,4.0
0c5b7c4319fdbe8d000bd06317a105f0e72bfde5,2.0,6.0
f586638c213b040c65efe421121a427de8cd4ec5,2.0,2.0
9837cdb11c66845e853cc3604ed166ba2c6c3867,2.5,0.5
0860e829ea353aed51dde9ede44e1d0abeb7d2c2,0.75,7.0
a6b2427cc848622222d1d6decd9be1f54fd11c6d,0.2,0.0
56baafe32e19d29f787f1d27c94452c77c57adda,1.0,3.0
153b4664a0329f3b76a2bed135b222ca792464eb,1.0,10.0
4a7ca09af1cda874b49a17c0be66f88e1c82bd82,2.0,10.0
875b004d332e166e6f879151de2dbc673d602997,,
03b68c3027c4fe2d28f4f2d0d7a4d20943cea599,2.0,3.0
4541eddbb24dba78255c8dfa2ca990c18eb2b500,1.0,2.0
36a7a8e3ca324f4cef53376d5976bcafd3ccca50,0.5,5.0
0c96f7b469ea3c0e7e38a1a48c0865f71d1f1e8e,3.0,1.0
cf313c6bf900f83ff345c530970d2b4701e328f0,3.0,4.0
495826aa35c7ea19db53ac193436ea43ddd38fe0,1.0,3.0
a30e6188316246daae706103575e68ec0b05a71f,1.0,6.0
c1b754564b5b0374da7854c19c1f32071e0943d2,2.0,30.0
d4b5b9971a8ec2ab4f8a2e5939579fbc412ec5ac,1.0,8.0
63d4a5340708df7796a015c2a89a075c839012df,0.5,8.0
c0c86788931077d10ad999a443feb32f2fc45d0b,1.0,2.0
c6302a5b150c094fb9975c6db4037236db87ed26,2.0,4.0
dc3bf2cdc526cb6569ecd354dd64a8eca7e259df,2.0,4.0
dbf1b173ec14435e8bba3116e8f787b9d5e96daa,,3.0
543007278d987f94d2204aad289473576fa87b2a,2.0,4.0
eb1eab0779e5419a6411feedef22de79d3926618,2.0,6.0
4f5e25676f05ff35ace3fb554a3b95cb7c99c05c,2.0,6.0
421bc553ee8e5a4445179300dc727305d4a6ecef,1.0,30.0
f648a2b8960d84ae9e25d9c37787f80964553021,2.0,10.0
18377534675b6777f8f70272621890fb253efaff,8.0,2.0
53c474b490b120228bcff9094be6d109d9097f62,2.0,
38a3f5f84af0392121d6c0de18b6cec2dd2c13fa,4.0,1.0
3784ef54002d3f907b2df646273e25c02be9f61a,1.5,4.0
f6c5d2cc50bb59540fc3bd86ea934f5b6853c198,1.0,8.0
2c16ada6ced408664242c0482d664131a3439b29,0.5,8.0
6dda51a895adb639004496b5639a6eafbfce13dc,2.0,4.0
68a953112bee699b1ac302a8986e136fd7efcb07,3.0,5.0
e483b4b3103486e53f8406ac1d0e4cc269dc07fb,6.0,6.0
63b34a8a3337049e137eff072aa9c6a9b46c8b03,4.0,15.0
6e971366561b3cdc3a8de4ab07f8a438aa3abf55,,
0e185ca538d0a1a21a992859a749cdd9f5f7dfcb,4.0,
d21e8e114a833c8a866b47c0b4354af79d28d9ca,2.0,5.0
c07144a032ffbb587d092df158dbe31c8183ec45,5.0,5.0
c7d21f87b4716fef71f5dad65b5fa646aa0805cb,4.0,3.0
01e34b0574ca4f0653e3b3c8a85fa6f82690f683,3.0,3.0
ce910a6be1fb77eeb928b830549999fc58d58e5a,1.0,2.0
9db7779c5c19ac3a313e0260e58dffc47c909d92,3.0,1.0
67ac38ba1d8042bf00156cc739757b5429d96867,2.0,1.0
518f5794c5cb27f96db03d2dd5bf4c7c54b3533e,4.0,10.0
7927113661f1dc902f6b863629d5b47734a1ff89,3.0,2.0
924a4c537be5599eb68f4649867c426c0f3f3d12,2.5,6.0
22ae119c347e27debdffa404f076a9a50f0f1ae2,1.0,2.5
856df022ad6c1bd52270a9b5f609ab8e31666f46,2.0,
42b5b5240090356c32e86eef48f9b8bc5e976073,8.0,12.0
ce574af8798332ac2989d62e7000315cd55e068e,2.0,2.0
a12fb7b732b2491aadea3e38f1eb195a96e82e43,7.0,7.0
dec9392ee094ed53d2ad1c41e5291aee315df4f0,2.0,2.0
327a853f575f017c0e39b1cd4373dd7079400072,2.0,5.0
8ec55653bcc4ee25e5f2ab76c18a99e25712b57a,2.0,5.0
88c0c96be24f50712f5d57b39420cbac11eb504e,2.0,3.0
10576c658a4296b827e7ea08e5b6d990f6f142f6,,
8a5bae3cec431eac8c72a42e91d91ae040ae1c95,,
522c44d1920b4a0f5cf735fbfe14493c832ec0a9,,
fa454c7572671428b1084c43b34ae2866b97322e,10.0,4.0
ca1ba39c6c7e793e51ada9ae50778fac5694c2c1,3.0,10.0
76f2229667b4f5a9e80591c68e30266cd7a5887e,3.0,12.0
