email,time_homework,time_lectures
76b44a94c13e98780f438868d889d40499619723,4.0,4.0
03b68c3027c4fe2d28f4f2d0d7a4d20943cea599,,
543007278d987f94d2204aad289473576fa87b2a,0.2,4.0
c15f1ba61b68d5da456b61248de015ecf8140c24,,0.25
ca6e4f101db0c3fd169fab4ccb2767be65737d47,2.0,2.0
ca068cd9ec3beb02061bd74b3ef6d8d6b4a7a6c9,2.0,4.0
5cda4007dc986b8f5faab5bbf6696e166a954977,1.0,1.0
327a853f575f017c0e39b1cd4373dd7079400072,0.1,5.0
fb679cf83225f927a4429811e0867216f82ae910,1.0,1.5
bf7c2f647d790667512966ea6a160d674752c64b,0.5,0.5
1e3461bf674b685a6164debbd59ef18c5df8e49b,1.0,2.0
d4b5b9971a8ec2ab4f8a2e5939579fbc412ec5ac,1.5,8.0
6201d74f72747ba484307fcb50b4d315168adc01,0.5,1.0
2c16ada6ced408664242c0482d664131a3439b29,1.0,3.0
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,,
3e2246b88ee0e578f0cc40a1a570c354aa0baafd,3.0,12.0
6ad2bc726af8a0057cc60cd20701433264ddbd80,0.5,3.0
fa454c7572671428b1084c43b34ae2866b97322e,2.0,2.0
9faedcd9e223af3ac408ff39a1c30e4b1689688d,3.0,8.0
9681d4ec97331f897a6dc2b029e4fe2c8336b1f8,1.0,2.0
c1b754564b5b0374da7854c19c1f32071e0943d2,1.0,2.0
ca4d4927693158fff157e2bbd7e4daf606c69bd1,1.0,4.0
67ac38ba1d8042bf00156cc739757b5429d96867,1.0,1.0
22ae119c347e27debdffa404f076a9a50f0f1ae2,1.0,2.5
557bd9b2d44fec7a4e8b0855cb4560e28bd9d415,1.0,2.0
4c90a59a6602057dbf6cdf81da902bd2e8d51e12,1.0,2.0
e76185b5b49bae2874f63ae02fa8c7d4aa618ddc,1.0,2.0
cb6e594286716d1764ed09ab6ff6ae2b85c55d10,,
36743a6d5b698a4718d8288edd27efdbe6362b5e,1.0,3.0
9837cdb11c66845e853cc3604ed166ba2c6c3867,2.0,1.0
36a7a8e3ca324f4cef53376d5976bcafd3ccca50,0.5,2.0
70b1d1a9436fae5a5f8ba2d47d3e5f5beba57bcb,,
331c1cebf7a706aad1e647e2600679f90ce5eaee,4.0,10.0
0e185ca538d0a1a21a992859a749cdd9f5f7dfcb,1.0,3.0
e1944f6461634689c5f3cbc822ceecdea9dd3707,1.0,10.0
ce910a6be1fb77eeb928b830549999fc58d58e5a,1.0,2.0
0c5b7c4319fdbe8d000bd06317a105f0e72bfde5,2.0,6.0
2b639ada8c73af65aa668456e6b03a55481eb3e8,2.0,3.0
fdec50ce2ce2597896a996531e1ea90d19dd6f12,2.0,2.0
da249f7bbf7e7e98265c4f9d92d41537d2f1f6d2,1.0,10.0
6602fd6ab24424212f67a1b1e6c093aa72597027,1.0,6.0
27de3adde9d5721bf9609ed247f9b5b1dcbd5b71,2.0,2.0
eb1eab0779e5419a6411feedef22de79d3926618,1.0,4.0
0f74646668ccbbbc13d9b6d8e2703f1ca8653519,1.0,2.0
078c072b7fc72f7f625ae7d0622ede52e8ab9c67,3.0,72.0
01b35fbc7de799666a23fa596639ea94de3b659c,3.0,6.0
e5874540aea95ae005b3a363ef1635098b0c322b,4.0,2.5
6bba9c9f6f11d2296b104c9ec690f8b0f03185b8,5.0,7.0
9e27b26a55a0f89e814f2c627d952a9e6a010848,2.0,
13e674805a3c414f3070c3830b07d6dc0461bc79,3.0,8.0
b1cb2c45d79f0472b0f2109e3fbe1aff475b89c0,,
1ea060b226da510a5cd309346b9005e332f16874,,
42b5b5240090356c32e86eef48f9b8bc5e976073,8.0,12.0
1c4eb0f9b7be5afd9b37a1e414560fe401625457,1.0,1.0
d4a2e1816639edc615cbe052234ec159e871cefc,,
195b59707405a5b831697528fb36c44dfb0e5799,1.0,1.0
a12fb7b732b2491aadea3e38f1eb195a96e82e43,3.5,3.5
d1a10a807f58a1dcb0a3524c7427bc7a55a21488,1.0,2.0
4f5e25676f05ff35ace3fb554a3b95cb7c99c05c,,
8f2df9df92bd5165ef60490a6f77ae7ea61605a9,1.0,1.0
2a25d21639e37bf6789ba43a7c99844e338c1b27,0.5,6.0
dc3bf2cdc526cb6569ecd354dd64a8eca7e259df,1.0,3.0
cf313c6bf900f83ff345c530970d2b4701e328f0,2.0,2.0
dec9392ee094ed53d2ad1c41e5291aee315df4f0,2.0,1.0
fb31753932c71ffa0238580a6c805b5fc9a2c0b6,,
410a0eedc695515f187f646c758066b6c2991391,1.0,2.0
9d577cdaa6a76973da336d1e9fafa46f28b86cbd,1.0,2.0
495826aa35c7ea19db53ac193436ea43ddd38fe0,1.0,1.0
25bdcf0b8fda2d2f59766156a17fc7c5b8a4ef72,0.25,1.0
3cfbea669dbfb28b7cf1c9e9b161cba29bf01951,3.0,10.0
522c44d1920b4a0f5cf735fbfe14493c832ec0a9,,
097fab34f3b1c044d53fa5dbb2d18ac9762c7928,0.5,2.0
f5d1d0db8d448c3a1cfb9c742d46baef540cfc1d,2.5,7.5
f651d6a9fa75d9a38f004d29cadecf97d693ca97,1.0,2.5
cea73ff17a33e8310ea1e92847a01605928c5f86,4.0,9.0
f2c93eb120d4b838bef5b7dfa0ee1944f453c718,1.0,2.0
153b4664a0329f3b76a2bed135b222ca792464eb,,
a530b5344f1b8476969d9fb5c3c079b1c7ab94c1,0.2,10.0
1aa9ca99745fe32c87dbe2fa08e50068449a86d1,1.0,3.0
56baafe32e19d29f787f1d27c94452c77c57adda,,
ef2f86bfffd5f7a01689d0c003ab7ae64944cc47,1.0,
62eed4b3f31a8da230b1c06e3161cb7b2bec69cc,4.0,4.0
ee080f06048a57b46b876941ff4fca2019eb9fa3,0.5,1.0
a30e6188316246daae706103575e68ec0b05a71f,1.0,1.0
3b0bd39329e71bcbffae72083b0c3752232a832c,0.1,2.0
763f1201cc21f5db2920451b537baba80ecce548,1.0,2.0
7657dbb48b297a5c4630eee29bf0aae9f3ee2562,0.5,1.0
7ea30327eec82367864d52cb8014ba68250ce8fc,1.0,8.0
981050dd6cc996e3537669d3a82a28ad353fd9a1,1.0,2.0
421bc553ee8e5a4445179300dc727305d4a6ecef,0.2,1.0
deee06fb0491759a0c4f6c4f0eeca55a1a8bfd57,1.0,3.0
590543951dd9b8103a7392f28f0b0d435a518c12,0.5,1.0
3f9550c33bbff748aeb127bbce5b6500c77db42d,0.5,7.0
5f57282a13748b0361d97446446567e67031aecc,1.0,3.0
a021786579606a78a2d5acb5e5e7e82364042991,1.0,2.0
b1aa772d5f50d8d91bf359c0ef2d2ee75dd435b3,0.5,6.0
38f51c7f2121d5806089bc10d4f5009783891242,2.0,2.0
7dada6350e1b38b6daf8f02b4ce4c9d343671656,1.0,1.0
924a4c537be5599eb68f4649867c426c0f3f3d12,1.0,2.0
c6415943b93476b4cf9b72db9f51bde93d38e206,0.2,1.5
fce826ed4d2bb71d0c695c690123ae5fc6c14b94,2.0,2.0
5ef52f4a9a850e842ebe1233f5ffd38bc21f4085,3.0,10.0
1df81590ee62827fb06cbf1925ea47828efe16fb,3.0,3.0
7cfc13cb9ef721216fcfc71e986243e95f367351,4.0,15.0
1ad4f60f6547275ce78075ef9a939a9c15e757d8,1.0,10.0
1acdd3e334225ab6d4e43a8b703760dd6f560d2d,2.0,2.0
080e434785b3514dfd8af2e718536a7ef6deccb7,0.5,1.0
10576c658a4296b827e7ea08e5b6d990f6f142f6,,
5a745a4f421c4a413e9f19cc54c068367753863d,0.2,3.0
98ca8fb02679f2ec08a388642b623300a7c00c7c,2.0,1.0
f53dcfdc35353a4fe30696033e04ba1351e3cd11,2.0,2.0
c71743a1774c51c969bdb7dcfc5ac15bdb7f9f75,1.0,3.0
514e22b7a20d12a08e4a08fca04940d6bb65b78a,10.0,6.0
9cc8879980f25825a32b03c383061b706c6dd45a,1.0,2.0
18377534675b6777f8f70272621890fb253efaff,2.0,6.0
d0d4eebcb8e9ff553a1c1eb1173f1c49696eaa7a,,
2658cc5460c7b017c575b97b87319383650c7c20,,
48bad0381fcad97b793a42e2cacd4c8ffc74481d,2.0,12.0
be706ee8c61490493f5ceb3f3564276390884f92,2.0,5.0
6b8724eb1690a1337cd4e96e4f9761815535abf7,2.5,12.0
ac81c3f21cf19c0b45d7f1e13a2f7ce61fcbaff9,2.0,2.0
b47939ab008ca49a85ae2b2e738779547b4297b7,,
4660afa5509ed29b3fcfd1759d2414707db3c260,2.0,12.0
d21e8e114a833c8a866b47c0b4354af79d28d9ca,2.0,
509f894cc754dcf219b344ec84e8e3e337469701,3.0,11.0
51bb171b62b5c883075c79e69c2534088bc01e3e,1.0,2.0
ceb9b621cdf4b8728d5e28cf133458b98021da60,,
68a953112bee699b1ac302a8986e136fd7efcb07,1.0,3.0
a0199b9f66d65fe42f83eb7396800b3f675bd251,1.0,1.0
2a270313900035db2a2445bc07702ac0b299e015,2.0,5.0
84cdcee129b26b051e9e9164e3243817029e382c,5.0,5.0
3c7bb6050b62c0552568ee4b3144221f2db76146,2.0,1.0
1e637ffa1a0673e9de2602ae82fccb568366ed35,,
14ec439fa72f8c680f79373f725f8da5d078a8fa,1.0,4.0
9234ccd1606bc06786882532045bb6684b377f87,2.0,4.0
b9f1d3b638a23f604eeb064b9d4a9283ceaa99f0,1.0,3.0
f8e2dd4ff817a4109658f53854501aad408ddcca,4.0,8.0
510c636f6e171521b4221e3954299ae982311123,5.0,5.0
662afe8c2975075a5fde381b700d3498cc014fec,2.0,12.0
2eb8c5ec471534e7e92510aba2d891037c41f426,0.5,5.0
5470b403dc89e8f9d76fbf3fd16a754ef1f0506c,10.0,1.0
c07144a032ffbb587d092df158dbe31c8183ec45,,
1cbc872fdae7074b09bcdffb7056693a436e4efb,2.0,8.0
ad7ebf9cdf095c734ffdfd3c2fbd3dd90d68f143,3.0,5.0
518f5794c5cb27f96db03d2dd5bf4c7c54b3533e,2.0,5.0
281948b55b947612323aac27f531c0cf14722595,5.0,30.0
1a2faa617d4541bef2bbd3abc9281fcb4d0ba469,1.0,2.0
119fb8e9287884898d25b1237308ce5b5c537a28,,
e700646c1769c4ceae5db45037585d208296fc9d,1.5,2.0
9c8881360eded6e868130a308c55a6140d332c69,0.5,1.0
465708514dda350bef7da4e0ed7fd62ebef5cf01,1.0,5.0
9cee67b6afbe061af8bbe5bfdd97e5b10aeb3b8b,1.0,8.0
a8d30f5340d53923f221bf1b9b7cb06be9b33f74,,
39259b1cb32fbd314de0053c4e9f3b4753f38c9e,1.0,16.0
a3f298ab423001c3d741c3c324c3f302f8d3a645,,
0e5d3aa88e7eaf8f2ecdf3e0ffdbaa320747faa1,1.0,1.0
5cfaa4600f70e875c179e6d11ea9f23d350178d6,2.0,6.0
9bd69c24d7ca05a34013e9f9d13b67b0e73bf0a0,2.0,15.0
d9488b405565aa1d074cfa6a478778fa910fe786,2.0,2.0
cc5b7c0e013abcd0c8a68d565cdf0cb0eba8e195,2.0,1.0
2ec2e0f9764bcf5f3be9e1f22ce9c8b57e007cb0,7.0,5.0
16a344f12b79ea8e946cc7d80f56e1b4c6121830,0.5,3.0
b8a82f0e827b5047ff53ca085a6e4938db143bc1,,
2e1553b2befcc2b4b24c1c06d9b311d8d6ea7cf8,,
ca8bd994353b5aa8ee4c3f73c430615a316f2789,0.25,1.0
ed5e5ac49c40b0cb13d9608a8cb067fdf0e8ab80,1.0,2.5
88666190aaed43a01fd6bdd88d9551ce264e2c17,1.0,5.0
ab64cde41907e1fb521aaa2ab36a3105940e8c79,1.0,4.0
6a2049974bbcaf19ea59838f2af738878b85c056,,
7eb42631f849e46af2cd3eb50b01a78c46f294d0,1.0,6.0
69c172abe4abd2bfd43762e3783d865ca2519a4d,3.0,1.5
1cbbcfc944cf983d6c4cdd005284f2fe1e3995e8,1.5,2.0
4543aadd011e70770af76bdbbf799df4d6f34254,3.0,7.0
ae4a07f7d7bed80cd302b79e77a1badc0af98988,0.5,1.0
f8d489715442ad69f6ddb0de6efc8b2c183e3a0f,5.0,30.0
c0eff76cc724d7d1aab718ccd0f6b7b4c85d7bfe,1.0,2.0
914f939ba4877c087416042bc61ace28e638f450,4.0,2.0
d51126de1a07c60f43b4915121c39ff7fa9b3829,1.0,1.5
a4c05449d3583cd5f86702c8d08031a9a423c42b,2.0,2.0
8e2194b6045582e5522ae48f268a85c5632ccb4e,0.5,4.0
49713319b5272be118ddf2cc15b5a095be73968d,3.0,5.0
b56fe3e657ae4bd8d738702cec7233da02995332,2.0,4.0
c0f26a14c5f58ad0da9feb350111d27f940c6270,2.0,2.0
e483b4b3103486e53f8406ac1d0e4cc269dc07fb,3.0,3.0
79f2b6103c5acec10e7f6c7d14a397f32c3f7fbd,,
07bb86087cc1de24236c8c68a3d9a5701e57b3ee,1.0,5.0
d70bc01f5dae1b6e3326594d5c4b2e09b2bbb11d,,
9ba4939a14249c884fe69c418719698ff7fe6314,0.5,2.0
c87a752ba145f8875b5a635bd642790d3b6c486f,1.0,3.0
4c2e541a2b33f1ad3b235b1f42fe8f44b14b0cba,0.15,1.0
689d5e008cd3c1c393fbfe9e2b16ececaf22357e,0.15,3.0
dcf7d114f2012de53d5e667fd3a7252fdd25492f,2.0,5.0
ab7a194f67fb92757781401b9bfd8a15e2e5931a,3.0,6.0
0e6fee08c94176d25fed0f4435315ea0dde0de4a,2.0,1.0
280d081d6cc36d735fab099f0767632e5ca70621,3.0,6.0
dc713b5bb9d7bed9a64da1766abf85f4048e89af,,
6deca8e36d6017256b46db66eaaed16e5f487fb2,7.0,3.0
457dfdf2c274907063099debdadf19a6593e0f2d,3.0,8.0
d0e1c5a6a1636168f4706841320e0f013d179a3e,1.0,2.0
26f63e05affd161b0259899c62d47b3f292dad23,3.0,10.0
dca7b75c8469b1cbfe0ed2ec1d855c2ea54f9214,1.0,3.0
e48cb71585587d649964975ad3d318d096fd8f56,5.0,15.0
f4b419960471179e4660a501dd4fd849afcaef31,1.0,1.0
3aafbe9b6b432d29a1e5b60b160711f1a1904156,,
91fec068091cb7ba935332c0b28a2818b101a2db,3.0,8.0
2186c086c18b8416280adce82a9c79d03e3179c6,1.0,1.0
394ae5d30a57b57cfa3d7454aef68102bbef8d46,1.0,3.0
e61c3e3e990f8dc455d9c6381024996bf2b98e79,1.0,4.0
3a3cd7866a7e6da9298f68479d13c9c817a30d4c,2.0,8.0
cea6b7c77054ca2c3cdfbd6c7ba91dec884b71a1,1.0,2.0
0e8ccafd03b60497ba7d56b6b7a66b886cfb0b50,3.0,3.0
0ac7f1f37514c3a46af3fa2cb037e86f4859ca18,,
8989ed4f3ed17a5ee6ea932bbeb1f33386917be2,,
3a86166e389dc95d85e51f7128905f960acc3fed,2.0,2.0
f7794351ef46fa717a5b2a2e749ac1814a19fdcb,3.0,6.0
469b60ac4e89b7f0906aaf4d411b76ae4f4015d5,3.0,5.0
8e7a4b29b5f942135befb79f245172c4256aa842,5.0,40.0
b996df54187b7a0963410ad2c85fc1f24594a9a6,2.0,6.0
53e27d79890c2ef13d3f4152a7fe8f6de7f510da,3.0,7.0
1bc379498ec49e3e8e7dbe785d63910ba9e226bd,2.0,3.0
3b815a944ebfe5f7896664d557fbf8bbd573fede,,
2d3ff577f9f618b1a9b5e55dba95abea1d0a55fc,7.0,10.0
6624d8cf00b4220ed166de2ea0e813c4456eaf5c,4.0,4.0
9598913c87cb74dd4b24107fce3d39dc5ca56255,12.0,6.0
0ebb9cedef8ae8ab47e5c7dfdd0c34739ee88bc6,0.5,3.0
50008d1825d4cc2717df9266437a0efacd21bbdb,30.0,1.0
bae463cca28e71bc82e5fbb81b5a193c97c58e83,1.0,1.5
ebf1c1d39add31b905d9edb7120e13150a178262,2.0,1.0
26cda6a6f72856fac827905bdb6484174e57aa57,2.0,8.0
1e096790e8e5a87f51a6e98482ba5d04b615b828,0.5,1.0
ca1ba39c6c7e793e51ada9ae50778fac5694c2c1,3.0,3.0
157e3680526fb0d86bfa01570b79502f1a0c3fef,3.0,2.0
0b1f13df144a6defb4838a852fe235475376a664,3.0,3.0
ab02f69caeada35da1684e095fe9b4fd82b09f69,2.0,3.0
3d41caf7986931cbd575238ea6a92cbfa5a7af75,0.1,2.5
c5a5de82880e5067521a0323e1bdf6f3dd783cd6,0.75,7.0
ce4c9a400356fffaabd9a56548bea499cb17eb0a,2.0,8.0
8d049e3f83f1e7508a4f449b7672f18f872d5cb5,5.0,1.0
a0fabec29d55098ed5d5e131e5e09e003effc13f,,
a97c4f72c7b261903623dd5f31da61bb4ddf2b89,,
ad7d26f53b0833fcee94bb8d539021ff16cab49e,2.0,4.0
f5cf7506858dfa47216b64ab7755c09617aa47b3,1.0,12.0
47f827f73935cd832303898be1c318fbd3cb9d47,8.0,24.0
c8bcb0bfe2d0657a87e56f27af1e074b9a19695c,2.0,5.0
b88edb642c3d057f05baed1ba6bbb91bb08ab7b3,4.0,9.0
948b1d5ddd04c6966672af6c9ab53d6d088c9f25,1.0,2.0
9c97d3666eab5f620940c205867da83ffc64b675,0.5,2.0
852007d0b4c101aa359ab85da06483e2431e32a4,3.0,2.0
ea4c47022bad31d107113aa613edfe2ae52a2132,3.0,2.0
488647d7ec8f1e84bc5f039c1c2d5caaaa23f077,3.0,6.0
1dbd2d9751d7f9eba76e30e24edd5189f22a3076,2.0,4.0
46d6fbbfde08d528cf8df6df77480106e09bcfdc,1.0,2.0
adfafc90eab0fa584539c51d78d215515f0bcd5b,0.5,2.0
8ec55653bcc4ee25e5f2ab76c18a99e25712b57a,1.0,3.0
bcfd7e6681b0eaa61b60770487ae244659ec139c,,
4a7f9b3cc3f6c048a136c3537e7181bf88c68471,4.0,
ce1d1d9e79b3cea1209754e95c073c9772b1fc39,2.0,4.0
552ed9b0a0a162923a8aa411c8ac82c4a55d7559,0.1,1.0
a9af1c4de4108873bd77a681303920b71c7e0a46,8.0,16.0
0ad067e727ce725f31a10d79d2dfff94a252bb43,2.0,1.0
8573daf3792e2f9d43b8781b2f6119b67a40f9d4,1.0,5.0
96e509ba6bdab9b259cad9f9a3a83a35a1267266,3.0,10.0
0f83436a7f83cd437e853139bff3cc372e80fad9,1.0,2.0
06d8c8f50a023b98e4aa0d73a5b09b880021c839,1.0,3.0
7543624cd2908777383e7f7d683b2ff18331361d,1.0,1.5
597b59b774cf545cf9322420b82166cc66494b46,1.0,6.0
bd1a9195bd31b19d8489c341c744c20b1c9c92a9,,
ae3f8920dba8b2f1eb4e04339c106f41b8dc74c5,0.25,1.0
cce6eb48cb77a5f4e77193c49d95f2ea0e30d2dc,3.0,5.0
93c314b10bbfa4d6d3f329c2119a41e57c1855eb,2.0,5.0
168205de143705df24f44b98afabac5815e0813b,0.5,3.0
86db57b2001f17d8a8b5ca302161b4766a3985fd,3.0,10.0
75ffab8f2f576abaf8ba934f16ce9264b39f7a5f,1.0,1.0
76e6246d008fb34bd5b1319a74aefbc358e9c256,1.0,5.0
c9b32e839e578f3314151a58f8b8d3e3fb7430d1,1.0,
