email,time_homework,time_lectures
414cf38d05eaf004b936ada7c26b48d6134697ba,0.5,5
160022081dc13fb80a48b7c58eca651c737f87c7,0.5,2
01b35fbc7de799666a23fa596639ea94de3b659c,0.5,2
26f63e05affd161b0259899c62d47b3f292dad23,3,3
03b68c3027c4fe2d28f4f2d0d7a4d20943cea599,1,1
875b004d332e166e6f879151de2dbc673d602997,,
dc3bf2cdc526cb6569ecd354dd64a8eca7e259df,2,3
6ad2bc726af8a0057cc60cd20701433264ddbd80,2,3
67ac38ba1d8042bf00156cc739757b5429d96867,1,3
b1f2950b955d1201532b25632e82c35a10fd60c1,3,2
c71743a1774c51c969bdb7dcfc5ac15bdb7f9f75,1,2
543007278d987f94d2204aad289473576fa87b2a,4,3
b9f1d3b638a23f604eeb064b9d4a9283ceaa99f0,3,3
9234ccd1606bc06786882532045bb6684b377f87,2,6
054a2d98725053366cae7f6ac68c7d4a05e64899,,
62eed4b3f31a8da230b1c06e3161cb7b2bec69cc,2,2
d0f9ceec519469d3fb704763adb6ad103f81c02a,,
6f833e1e93999b0d9780b4e38f34820754ea9cae,2,2
fdec50ce2ce2597896a996531e1ea90d19dd6f12,2,3
36a7a8e3ca324f4cef53376d5976bcafd3ccca50,3,3
3aa94c33cbe7fa6b65a2eba5b222789670d11564,1,1
63b34a8a3337049e137eff072aa9c6a9b46c8b03,4,10
5a8f1edd00bb7bc271a78356bd8092b76fb38162,3,
092de8e7440811b1b5c50e70e84e5cc901d02acf,,
7265df01aa16544108537925c32e04863e36fa39,3,6
495826aa35c7ea19db53ac193436ea43ddd38fe0,2,1
e3f7b14e3f200a1a3117fea716a3aead64b75bae,2,2
510c636f6e171521b4221e3954299ae982311123,3,1
0a7870a19937af442fe546e031992a3f9f235d4e,3,3
8f2df9df92bd5165ef60490a6f77ae7ea61605a9,4,4
10576c658a4296b827e7ea08e5b6d990f6f142f6,,
fb31753932c71ffa0238580a6c805b5fc9a2c0b6,3,1
b4702c0c3df1854b72dc97edb7bb5fe72580e58b,,
01e34b0574ca4f0653e3b3c8a85fa6f82690f683,,
51bb171b62b5c883075c79e69c2534088bc01e3e,1,2
a3f298ab423001c3d741c3c324c3f302f8d3a645,,
6201d74f72747ba484307fcb50b4d315168adc01,1,2
157e3680526fb0d86bfa01570b79502f1a0c3fef,2,2
281948b55b947612323aac27f531c0cf14722595,2,3
a71180eafa3a4a6cc6a86698ee60006a5fe2e565,10,6
3ef783f1bb667f523477c4c0cdb274752262ef69,,
27de3adde9d5721bf9609ed247f9b5b1dcbd5b71,8,2
2a25d21639e37bf6789ba43a7c99844e338c1b27,1,2
22ae119c347e27debdffa404f076a9a50f0f1ae2,1.5,2
8a606198f1e3e5b437d6dac5fc955d2605a92b24,1,2
a12fb7b732b2491aadea3e38f1eb195a96e82e43,8,8
71d1244ef60aa133576d1b3835ee992655204a12,2,4
13e9376ce462a9506128c953a8d240963f8e9ea1,8,4
59407b2b852461e0f67d7b8e675c20437a2961c8,1,2
49713319b5272be118ddf2cc15b5a095be73968d,3,3
bf7c2f647d790667512966ea6a160d674752c64b,1.5,1.5
78cf39600941fa4c366d9b326b130d9a6b127662,3,2
14ec439fa72f8c680f79373f725f8da5d078a8fa,2,2
7927113661f1dc902f6b863629d5b47734a1ff89,3,1
763f1201cc21f5db2920451b537baba80ecce548,3,5
fb679cf83225f927a4429811e0867216f82ae910,4,3
ce1d1d9e79b3cea1209754e95c073c9772b1fc39,2,4
d5a600600b7bb25109e6effe03c0272550cc94ad,,
2a270313900035db2a2445bc07702ac0b299e015,3,2
cea6b7c77054ca2c3cdfbd6c7ba91dec884b71a1,6,1
f0bc09eb796c03f5caa244e5375e0e296845b97c,2,5
428d880236a9f8cb9efd6a2ad907f42c6053f52f,,
281186884d2136327c5aa115c80e8687cf6b1106,6,10
