email,time_homework
1e3461bf674b685a6164debbd59ef18c5df8e49b,1.0
d51126de1a07c60f43b4915121c39ff7fa9b3829,2.0
01e34b0574ca4f0653e3b3c8a85fa6f82690f683,3.0
78cf39600941fa4c366d9b326b130d9a6b127662,3.0
da249f7bbf7e7e98265c4f9d92d41537d2f1f6d2,1.0
7eb42631f849e46af2cd3eb50b01a78c46f294d0,14.0
25bdcf0b8fda2d2f59766156a17fc7c5b8a4ef72,1.0
157e3680526fb0d86bfa01570b79502f1a0c3fef,2.0
a3f298ab423001c3d741c3c324c3f302f8d3a645,
464bb42908bd8bf8ba55450b57c85663c38c4d8a,1.0
064c8d5429ac5fe2663581dcde9966339f113e02,3.0
4c4aa94203b9f6b810abbcb887c4d831f34e52c5,2.0
79f2b6103c5acec10e7f6c7d14a397f32c3f7fbd,
71d1244ef60aa133576d1b3835ee992655204a12,
ee080f06048a57b46b876941ff4fca2019eb9fa3,0.75
543007278d987f94d2204aad289473576fa87b2a,0.5
8d049e3f83f1e7508a4f449b7672f18f872d5cb5,
c71743a1774c51c969bdb7dcfc5ac15bdb7f9f75,1.0
b1ca39761b6401c8a60939235c513664e62df562,3.0
2c16ada6ced408664242c0482d664131a3439b29,1.0
42b5b5240090356c32e86eef48f9b8bc5e976073,8.0
f0bc09eb796c03f5caa244e5375e0e296845b97c,0.5
10576c658a4296b827e7ea08e5b6d990f6f142f6,
590543951dd9b8103a7392f28f0b0d435a518c12,
f0b754bd4ff02284aa6b1dcc81172b474160868b,2.0
0d715ac1b14da1276322ec37a66ad41e70256617,5.0
fe98c9f7222a3e6db4e9ab4835f74ed001ccdebd,2.0
7312b219351c5a33c20d6f7c25bc2c643b0f3ff0,5.0
13cacfc47057d120870349399fd66f02bdb16b66,3.0
7cfb835a508ca9f7f031e89eb1ae29b5bb3501a1,0.5
054a2d98725053366cae7f6ac68c7d4a05e64899,
1aa9ca99745fe32c87dbe2fa08e50068449a86d1,1.0
33f7a39eb25a3de85395cebe916e94cb3668dfa0,6.0
a593d0e9f7dddaf99e8eeaf21412edddaf76ee26,
f8e2dd4ff817a4109658f53854501aad408ddcca,5.0
76b44a94c13e98780f438868d889d40499619723,5.0
6a6c44d5defebefbd52b35f9500c4d6562ba2df6,3.0
7d0b6079773e58cf719e4e2ea22b72b4d0099dc2,1.0
ca068cd9ec3beb02061bd74b3ef6d8d6b4a7a6c9,3.0
3649b6dfb993c5d1c6c5937b39869d9530388c98,10.0
662afe8c2975075a5fde381b700d3498cc014fec,1.0
