email,homework,time_homework,time_lectures
6c7f957223139101bdb88cf3448f858db07bb64f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,1.0
1cdd017d77813059eb36d65fd32da49d91b07c46,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
f0b3eb179d6351f5708943b261efdbb01e3009ec,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
d31cb0a36b37857443f0ad075bc300adbc273d94,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,6.0
df21eb2c1f73a3527b25e3c901ab3c8c4bfd2e2f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
b383e8f89bf40083cea29fefc69f4573a9ce4b3d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,2.0
972d016a909f9742b00a8d80b5fb2df360351ec3,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,5.0
c70fc9659c6a642f64aa65402c93844d7f8ae274,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,2.5
03cfe78fe79bd567468db5ffc321710f441c3e0e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",20.0,3.0
d308a0787df86bfe0088878b69fa3d727b563b39,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",6.0,1.0
29374eab2f9657635e2426cc6db84e9082312bbe,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,6.0
8604bdffdd591febbd4bd377a78d72a8baad7102,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,1.0
3070cb8903656375df552d17943c208d512e153b,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,2.0
d9bdfd62ff06b80ef8341644398db18a8d75c33e,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,2.0
9633a1ddfce3bb77b3ba0d2e438202ee7e70a132,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",16.0,2.0
4557155b6aa8c5bd3d766c44fb2016fb51c2709d,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,2.0
adf1ab3f86d375a394af754586fd42b602763475,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",8.0,3.0
140054bd46b3f37dde87f6450e32e79ae65e9c01,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,1.0
d4b15990cf80cf772ddbac6ba0a99bb391445145,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,4.0
00c6a370409f2bee66f90befc63fa01c928153a8,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",1.0,1.0
1c35c60cc232e800dcaf98f0994a3a9a23c84f81,Workshop 1: Data Ingestion,3.0,2.0
044e5faf92ad8a2c441564b936f92c86c2771373,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,6.0
711bab6f7e94e821a0a133398d86a807cf9280c0,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",1.0,1.0
59eba1433cc0d23a5752c36093c3150c2ec1b45f,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,1.0
5f4ed8c659c432b094448bf0d91f8fa04496b198,Workshop 2: Streaming with SQL,4.0,4.0
d6a374a4172c7a462e71f7e4827540b95f0793be,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,5.0
189c42f223fe16414297e2c70c4de9559b78ccdd,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",4.0,1.3
40016ecf7028a6e671dafc940caa7e5d2f79a697,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,1.0
4429925a9f743a520a2e5bc986c230f1fa2df1ce,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",5.0,3.0
b503726e734e87c846cb0ccb2b0b99c227163aea,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,3.0
03df7a73171b0152473cec5f81a90759bce706e5,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",12.0,2.0
906b47d846a57bc55b67439456763236e7174043,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",2.0,5.0
0f7382b82fd9807eca1410912c98a9231980fa69,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",10.0,0.0
a23b8910ac2791cccee0692ccd178cb7ead3ed51,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",3.0,3.0
0e78cd8a4197a727d5355f7f4b8925e0e2d7d323,"Homework 1: Pre-Requisites (Docker, Terraform, SQL)",,1.0
