email,time_homework,time_lectures
54a86d7ed58debd25924123f9daaa5396e942a91,0.2,3.0
95e909ddab5c93c09b15084041c5f15bafa02ed7,2.0,2.0
6cacbe8f1638ad0f670c6faa85c6f27bc4e3bac3,,
76b44a94c13e98780f438868d889d40499619723,3.0,1.0
f84652db659a1ccb9f426bfe31cd48eaaa502293,2.0,3.0
2080c0fbcbe2c6c720009f0ea5dbfafd56948b21,3.0,2.0
a23b8910ac2791cccee0692ccd178cb7ead3ed51,1.0,2.0
aace9d2f2dced567d6c1213d31491c9e82f9b62a,1.0,1.0
d703ba54239f2009e27b7a442e8d3b5dad18c755,,
53ef925074886bd37411a846359e239ad1763cfc,1.5,8.0
900a2cf78e5b22728f8d1b728ea34af109d0529a,,
b9a21591f39ff7f8bca399db960b9a917c2d4c90,8.0,7.0
655e38fc68536b5b5c5e59c25ba0a039fc52d600,4.0,10.0
90deef62fb25a0f3d259c85052a70b6d78e7a09a,0.5,1.0
edf20cc095f3bab316af30b6ce0d1b16f761ee3f,,
9d8de1029f2b007d6e3bbe80917d299260d83366,,
42215e39b7f2d95b4ff91187db11c4cc4dfef93a,6.0,6.0
1aef3546f976919edcb087dda071ea285fa1ed0b,0.5,0.0
9d41a97d39681680dfcce1d7c3b609643111de3f,2.0,15.0
f7a3a6d1dba1ac7750316584335c5b35b2130e9e,0.5,0.2
b93c7f12f8198c89ee337a69ce9b8bc3edd4e8a7,6.0,8.0
803b135285e4e8082dcd9f77efe6eb6a6bc82bc4,1.0,3.0
3603c05e491b3b3672ec96abd9425904f3ccd8d9,3.0,7.0
080dcfc1d27a87d4e517bcc4e0ede4c82e16c870,3.0,3.0
02b5d4ba502db5b9212523816f4edc22e18eacad,1.0,5.0
f5f408aca507c452b70df8787949a77bfbf40fd0,5.0,5.0
b1ca39761b6401c8a60939235c513664e62df562,2.0,4.0
34959849c973d07c79ad2155e40468dcd25aa350,8.0,8.0
08b60237fd289b10c780f33f0fb24b2a94fc4980,2.0,6.0
c70fc9659c6a642f64aa65402c93844d7f8ae274,0.5,7.0
42e97effa94427280134f3e74873cde67fbc3504,,
d704dbfb66e270bd510f0486582108ff44f27274,2.0,3.0
fae7501e8c4bbde9cb74e14941aa001c827b3a55,5.0,8.0
f4b2583b72018bfab6a99091c8eea7438dd9d630,3.0,4.0
6039232ac9f46e6b5cb0f7cd29ec13b644c4c455,,
eb8197c6fe6c054f33c5f77908a3e4b3dab29bb1,11.0,12.0
9e648156348115691bc8bf004a1799b78cb6532f,,
39fbd10c6f3cd879bbebc8163d53ab0912109226,1.25,11.0
f2652effcf3a09745289fe9a3eb577230203c273,1.0,2.0
d6db773299a79db7eebbd2407a1da818878a30ee,1.0,3.0
eb25f49d16059a96ebe5b34eb150b963744bfcc5,10.0,5.0
3362f1355a05579b6d4eb2c7620ba241f74bf96b,,
83f85d06a02f769fd01403ad1da238b846247ed6,1.5,0.5
3b7479af006bc776a95de3dca470e99bf4e5ad11,8.0,18.0
0dac0777bd4a288b1bc78ca939e658386ec47036,4.0,3.0
55eefd740a4927e12288a55516863d29799a8892,6.0,8.0
e96da4a535b6445a8151c7df83ab6c46b3378bd1,2.5,3.0
e3bf8ae3e27ea0b19b1c0cad2ca96a68073ec94f,2.0,4.0
f0b754bd4ff02284aa6b1dcc81172b474160868b,,
6f821f57fa0bb7d1810dbb93dd2673e43b09fd78,3.0,2.0
0ae10bc31ac72c9c5d477c0ab00d5167d3c87150,2.0,3.0
3c3e6cb20956ae0025bed8365dc9e12de5e86dcf,,
349486c43a1c2f923090cc9bd1cdb678daf834da,1.0,4.0
6ee6e739e58431a191ba08c1f7e3a8942c39ca3f,2.0,4.0
5d0e25c9a5dab9dc56c6279b5a736e119ad37dd4,2.0,4.0
