email,time_lectures
ead0948c163b067ce3a861b2753693436e0b16a6,3
ed5d46d7110dd9a5c85d988b818630959bc2b711,
b84fbeb909c41c20e58ab5cf97d0a928db62fca3,5
84fd3cfc65c0876561302067691e10249e6e0fb6,5-6 hours 
8f7bdbe2a7e95419d936afcae3315c18eac906be,3
442543fe0e54fdfb6170311692d12968bbf022da,3
08509952482a1de0c72527678591eb964ffb3708,1.5  - 2.0
a8d9b0f0e618e6a2cec03d7029bb587dd4133ac6,45
e5cd083385a3a9e79c39b8212eae859e88cc1d13,3
563f7eed59b5487068194c89a00484d7a174f27f,7
71b53efdf7049033cdeb141878b0f8ef4bc7619e,8
b798c2b6cf82518c0cea1e64595f1558d4a28ba4,5
e8d603e8feea6d0c6e917d7e32b905d6fa8434ae,5
922efb9887cc5564b55a4c9156ea294b8f4e5081,
8163d528bb5c552c8f6986f2577d2e39828aedee,4
42898aba2dce7056670c9c66d80c4f8cfe6cebde,10
b6bc16c5fab0c18fcfcee25780167401068339c4,8
02d6d45c465ba812c2aae3c78ab8e3d8c3899901,6
83f85d06a02f769fd01403ad1da238b846247ed6,1
8119a5ecfb2e33e7c9b89aeb8d319496563248a1,6
