email,time_homework,time_lectures
739fe0304e685b58ba8f3bc36c8ad84121ece03f,2.0,1.0
0146b4b31f738ddd61186be571c96c4a9086e07c,4.0,2.0
1e2c04158d879e196df52b3f953ac3a913be2875,1.0,2.0
52bc88f8ff20217f37c73c82699a233a13fb6211,1.0,5.0
2ea7acd781c382c3f601661c8226c40b1c47cef2,0.5,1.0
0668b3e31641c7c5cc892c4315934ff1a8beb0a9,2.0,7.0
dad46ef77d208f76fbf04ee1147ca4f31290aa85,1.0,2.0
1723db33fa1cb5cd07f83c4798ddce54d884761a,4.0,5.0
85611b513376c2d20d2befad636a0067bf52425a,2.0,2.0
c7ecdb516d44381cc07f2434cef443d5ad4383dd,2.0,3.0
3410a265818741c6124c80edff332bed5d2922c5,2.0,2.0
0464b4ca9e30b0ab7b7ac87292b878c3634079cc,1.0,3.0
e78e603660201f55043f43223dd531eecef2fd37,,
03bca253753d573ebb5889dc00845682817a61ca,,
8b37afba024cc9f2244b8af8088fad10312352a8,1.0,2.0
dfef274e0c3b34ab3c9c3587006269fd64d272f1,3.0,2.0
5ef52f4a9a850e842ebe1233f5ffd38bc21f4085,2.0,2.0
4da515cbfd554fe5e3b90864f7ea16ebdaafadde,2.0,3.0
a1a76beb387a88ccfc81ecd5cb28b774d16e1bda,2.0,0.5
2d3ff577f9f618b1a9b5e55dba95abea1d0a55fc,6.0,5.0
b0ab2dc7b81eb5a84e3cd9038608dd052fe6de38,,
dbc3ca3e85e34ffd1ea916c7572fb999f2745325,2.0,2.0
625a2e6d57f0f3bae411edd38ebd7f29188d40de,2.0,2.0
32e0492b151b68e31fa8f49ef64b6ec9a293b917,2.0,2.0
054a2d98725053366cae7f6ac68c7d4a05e64899,,
a486c7c495db17e4a2a22cb6732494c18400dd41,3.0,30.0
b1ca39761b6401c8a60939235c513664e62df562,2.0,2.0
49c5e2f0cc0a4430bf0578b7a9ec7360a9260192,,
d38fe1974e7d3c27f05eefee10c43366b355ebe5,8.0,4.0
8ecbba39b5adc80015dcb8bb21441e0c32f4e2cd,3.0,3.0
921ff17d1f8fb3e241da08d20f3e80201aabc2e3,1.0,2.0
53ef925074886bd37411a846359e239ad1763cfc,1.0,2.0
a30e6188316246daae706103575e68ec0b05a71f,2.0,2.0
2c347625c30818c21c123f350085fede3dc6a087,4.0,2.0
dbcde2625b2c3a8014d9c1cfbef6527e25d8e95e,3.0,3.0
85f6208b0d28a96d528b7d8aef399679f4307a51,1.0,3.0
f0bc09eb796c03f5caa244e5375e0e296845b97c,2.0,1.5
ddc587ffdf3bef26046cf3101d33a75f95db9252,8.0,8.0
76f2229667b4f5a9e80591c68e30266cd7a5887e,2.0,4.0
f84652db659a1ccb9f426bfe31cd48eaaa502293,2.0,3.0
64576605cdadcdec5ca965e416669316ab418862,2.0,3.0
10576c658a4296b827e7ea08e5b6d990f6f142f6,,
e2c5763d32fc3458bc309504383554c4ce05e16d,5.0,4.0
2de3de72509444579fa17b71c6288cf35180bac6,3.0,5.0
c3db10bdfe62729b2e7d8b610d45fdd3b933b4b2,3.0,6.0
37c6d94707156c440f716a549f9be1a72560daa6,2.0,3.0
080dcfc1d27a87d4e517bcc4e0ede4c82e16c870,3.4,1.3
cce7acf23d137b05209ec1aa5c620d7d74c9e29a,1.0,3.0
ac4c99eed4370d9a909ff552b6fc086029f78c99,,
b129fb873cb11503033a45e71bc4ebfc68c2aacd,2.0,3.0
c4122d7c13ee194ac9cbd109dbe537e7875d6d1e,0.5,3.0
76b44a94c13e98780f438868d889d40499619723,6.0,6.0
091bdfb4c994c8f652e1d4aea64dab08ea9824e3,1.0,2.0
9a95143eae229931375caa43f791202c1b902687,,
e537f862de92228431ee0ceff82e4862749d7b14,0.5,1.0
84cdcee129b26b051e9e9164e3243817029e382c,,
63c415dcefe16643f60744e47e61e8e08c53c517,3.0,3.0
3468627b19d95cce6e99467ce5d70f079e88c635,1.5,2.0
69c3b140fa1fe21dedde49bdbb202ae9d31ddc39,3.0,5.0
7d3697c7cf3bb8a5eb8d20e843f9b96bbc994e0b,3.0,3.0
