email,time_homework,time_lectures
f86a026a3002c1aa518a7bdef40cc54009188c75,4.0,4.0
a30e6188316246daae706103575e68ec0b05a71f,2.0,2.5
b1ca39761b6401c8a60939235c513664e62df562,1.0,3.0
fdec50ce2ce2597896a996531e1ea90d19dd6f12,2.0,3.0
60c1d6d4af289f157a56b7f9d24cfbbf3f677d86,10.0,5.0
625a2e6d57f0f3bae411edd38ebd7f29188d40de,3.0,2.0
6e3b15160d3143f2e1cc84cf51e908412063661a,4.0,4.0
81039db4d2d59d071107b7c89cbd0bdc31a623da,,
7ed08066de72f9cb8d68477a889a7334d21d54d1,,
655e38fc68536b5b5c5e59c25ba0a039fc52d600,10.0,20.0
5f57282a13748b0361d97446446567e67031aecc,2.0,2.0
77e41f3e01b5de1fa45a010a8a00cd870c388bad,3.0,3.0
4da515cbfd554fe5e3b90864f7ea16ebdaafadde,,
5ef52f4a9a850e842ebe1233f5ffd38bc21f4085,3.0,5.0
74e8913a38158a8683e5e058219feb0a862536f7,5.0,4.0
03bca253753d573ebb5889dc00845682817a61ca,,
3410a265818741c6124c80edff332bed5d2922c5,2.0,3.0
739fe0304e685b58ba8f3bc36c8ad84121ece03f,5.0,2.0
a474e1e6718992337e0d5d9a7229bd0e94ce4d3a,0.5,1.0
85f6208b0d28a96d528b7d8aef399679f4307a51,2.0,10.0
9be5598fed4df0ea8494d85de7e29415ab1703ae,6.0,5.0
dad46ef77d208f76fbf04ee1147ca4f31290aa85,2.0,2.0
9dbcf6be2601797f1e767897c6b3a163b5914274,4.0,6.0
76b44a94c13e98780f438868d889d40499619723,16.0,4.0
5d1437e5a60cab7afff8ddc282fd8e319aa2c879,1.0,3.0
0668b3e31641c7c5cc892c4315934ff1a8beb0a9,10.0,20.0
4646789f841116d952e8b6c0ef3beed658bc5a29,8.0,10.0
6249e2abdeed42050cf00f516cd690a65755454c,1.0,3.0
921ff17d1f8fb3e241da08d20f3e80201aabc2e3,2.0,5.0
054a2d98725053366cae7f6ac68c7d4a05e64899,1.0,2.0
8b37afba024cc9f2244b8af8088fad10312352a8,5.0,2.0
e8322abeed57a629be980ef51ef6c5c7779b0f0e,5.0,2.5
