email,role
41451d46202653a266463966a11e1a240cc96182,Software Engineer
c6f7360d04141e533e8edf47b73673c0cd4689cd,Data Analyst
de6893cabfc89739a5e6172ea6d7c33f589cca98,Data Scientist
5ca1abf9445332b1bd4aab9738da5d7cfa46c692,Software Engineer
d36eb7deba1bc341ed7cd77158e6452ed6a19982,Student (STEM) 
da55dd6dab7aa8317c8a98cc3ab6a6ea5139c084,Student (STEM) 
d3536efed50ede992d70bd4a35c498d8b5546d90,Other
86b1f39e18be6be7790c4b73825a8d946c61f629,Other
000be8608374187ee2bad17a06aec769fbbbf2b6,Data Scientist
0f0efa59a41a4d0f1f40aba12d21a9d4fd1f7a60,Other
44dac514d18c3a2cdda8bf7fc820703c8affbe52,Software Engineer
54aaf4a0903441b5b97995f5d2c8a39e713439e7,Student (not STEM)
e26e8871892ebab667efc2b80ad55aa30f523d20,Student (STEM) 
875978819280087396da9ab8045fe9d381e15377,Data Scientist
c318e023acbc079fa79bff6ca34a51dbbace1673,Student (STEM) 
e401ac4555a14394afc1be3358fc73a14e17ed59,Software Engineer
ad5baafb58ae8f80d7827d2bee2281ea38a7c984,
040bbb452bd390eadbd2c592ecf208ae6dcd4da5,Student (not STEM)
88e1fd9775339b17ff23ac6ac9047340fc5d4065,Data Analyst
78d37692583893feeb979651fb09fb128578181a,Student (STEM) 
a775591209935cfb369efe1ad5135ef4ccb42f78,Student (STEM) 
ea6888eacaa5fb709d0500106b424618c466d7a4,Data Scientist
ac0ed1269725f5f11d675035d58f6b006fb4bd7b,Data Analyst
48b580a06da1fa3efbbb2618ae924d2aa4cd02ec,Software Engineer
74c3158e0911b2599a51307c0f6e3fd12fe5b471,Student (STEM) 
d6e3a38547422b66e1af94cd7811159fc80698f7,Student (STEM) 
543e4189300a4b351faede76b6971f3eabeed186,Student (STEM) 
5d36bbfc8c13ebace868cb8a22eed6363b01df21,Student (not STEM)
3842f84fa00d9b0b61218b8c6d1471371f6c8b9f,Software Engineer
87140536caea48ffed63d00553365c88e3bbb3cd,Student (STEM) 
531e3c5ef59afa8177df6b10726b914d1d2fab75,Data Analyst
17bc007028ffac8dc402377ac838612cd3f96982,Student (STEM) 
683cb7cbbd1e5d7cb4cf8b45f7fb3af05c8b00a5,Software Engineer
294241bc0dd0625d1be04860cc229da92d1e121d,Software Engineer
87ef269a7051c05779dba8442d8e86e2b3473620,Student (not STEM)
8ceabb1c0ca0cb55c8d39e4e557ea4d7cc000dda,Student (STEM) 
c5b7234eeabfdd55b21f0b840e06159cd0a2c15f,Student (STEM) 
9f2bc6a9e0bed5c0fc5a3483d5ae716de12e7c53,ML Engineer
5d064ecad914c0c72d5ff4d5334cefc70edb4e8a,Student (STEM) 
d62783b370781f218d7dabb305e2a3560b918663,Student (STEM) 
568a9140f4a41518b225cbe49e0484bad75b4e66,Other
8f72331256857dd133c28287ecf7b3808a345f1f,Software Engineer
e34ea90ac2d9aa377e06802a79b109dc90779853,Software Engineer
1af08ec2c0bccfb67757a12a7738c91a6cb9d5c8,Data Scientist
0e01ec4587ad7c607fe8616de44ab3e38dd10c65,Student (STEM) 
d7412a989933be0a5cd32357371abc341f0e5af9,Data Scientist
b919f652a3c883c772ff7beadc76dc7fdbabebc2,Other
a6ce3754475e25ff10df9981c3289e50758de690,Student (STEM) 
d2ab8c5502963fbafa33793f8c053837c8a77210,Data Analyst
2f5534255194922e7a903626f75637772c2dac86,Other
5ca7a3f963b19218d0e01f9b85b381f4e6738a89,Data Analyst
cb184824484001ed245bb546880babc9ee11f0fa,Student (STEM) 
9cc25aa774d2e0ddaf9d32f67b6c1047e8b0115c,Student (STEM) 
e24f0aff9f7f0441f89a344f229e3f6e6e79cc49,Data Analyst
155688e6f5835e9effd7c6d5da4417346312db44,
f96da709e7d60a0ba58e466013bfeeff926adab9,Software Engineer
7c10e4a303813b932c168d84ab04b6af69d8f130,Data Engineer
ca2d93d9e56668ba58944bec721fd3b42c6bc0b7,Software Engineer
2e6a51968250d0c6326c23887e354f2c24815973,Student (STEM) 
f6a9d183770cdd945e2e687a3605d757d1de8089,Data Analyst
7dbf70a48f982d01074b5587f5e1a5f402797b15,ML Engineer
7cb2ff9fc2b9b9524c3dd15396d7f27cebe60a84,Student (STEM) 
722d1b57a31e8e9d224ec1de0e0002111cd78920,Data Scientist
b33599147e1aa5f6e9c056740e0aae4d2f643d91,Student (STEM) 
7676e5eba42f1dcdea641277f4d2a44edd4ca6db,Student (STEM) 
79caa1f5ca77d931fe426689909dcb4f981455e4,Student (STEM) 
eeae56daf55b767d4a01ff5b82e812c0e91a8fe0,Software Engineer
08087e23e05a3576bced659c2144eaacf56d0446,Data Analyst
cc44b44512b9e211ac39f7914169eda1fc02b251,Other
20409676c8b102d0bfacc2ed33d493b6cce0911e,Other
944614809c9350b6c5fa5a55a23e7aa2bf139468,Student (STEM) 
6c33e40df400ec8f28da358d6758800c43c34ec0,Data Analyst
1f444ee676a97c14ad56f65890506ba1cae4b975,Student (STEM) 
4d2eff05f149d9c4553f74c11c28190fbbeec231,Student (STEM) 
ee99ee3c4905169f36d78fc80cd97904c1a10608,Other
3d174c8278b8ac49cb2f96c67721323156880e42,Data Engineer
904af4f785b853cf49105931ac5535e8119d46c4,Other
48fc97d142d7be9d4066ed6b83bd3c65414e72dc,Student (STEM) 
921b6184bd8e62838128d8ab272c210088c4db6e,Student (STEM) 
976f35d8391f648a06569048cf6fd23884105b2d,Other
54e6b0a0b8febbb8310f4708f267139b08ff704f,Data Analyst
cc56bc6d70717b3d49bda1804a800dad0c372606,Software Engineer
28e58f5e465b1c8fd17a8f5c0ea231a80b509adb,Other
1596926d9f3d6fc89e4cbc87d4cf432f61788bdb,Data Scientist
a4404c19386d655ce167659aefabe60cfdf175b0,ML Engineer
fccb10462827b0f516645a0689077ea28ceddd64,Student (STEM) 
1bb8b7c395c1be4217f17759bb3d3417b487bd4a,Other
a71063fa42fffefa43617017a119a3c8d8fe850b,Student (STEM) 
514dec04c5b5ae23108acbbc47f1f843bab5b96b,Student (STEM) 
d6023916671b2ef60e42c509fcab05a8e2978082,Software Engineer
b8a15bf9b74a7f9212adcb97dda407bd05d191b5,Data Scientist
f6366e5054a714dd1de6821f9578b7e0f8a7578e,Software Engineer
51011e378b5b4ffe04e8f877b17b6abd4a15e143,Data Scientist
cf20e483b4b0a8427c22b53165e5f6833b937e48,Data Analyst
c8d491cf36a4077267aa2cc2eb285a9530131f90,Student (STEM) 
dc26464b00663e14bab22fbd2e0dac4038b29bf8,Data Analyst
e5b5285ea751f6e7b24a04566ad129fa01f6b821,Software Engineer
46415df696bd41d701cc1b6ac6bc00c9b8cc8d73,Software Engineer
66bc5b9e4a5e33d4d6d3f5f20ee9811da1ebd1a0,Software Engineer
cee450d86e897d4d3f1da3d97b32f876c6db51dc,Student (STEM) 
e5528fd12caf2d7fa1e23a3b1872c7f40e30b3af,Data Analyst
1986525928df3fa51321c73e92d767233accc0a5,Student (STEM) 
c755f82f75d45b88c0d9c4d0dc653dcf9ca821c4,Other
0593ad57a3bda2abb9663a7e9c41791cda18103e,Other
94631ab1a304de888e903e041401332432aeaa29,Data Engineer
472d5d0215aa925d952b26b06598f367905da89c,Student (STEM) 
7c90f74032da04a7d7203e5563dc7475cbba07cb,Software Engineer
04d30f26475d70dff5b6804ecd25a2e7db32b05c,Software Engineer
742d164b66774db6838378e5416f950a1757d529,Student (STEM) 
1388a2ab7e920438074501266d9a7478b9fab0ef,Data Analyst
7f561beb38dacc659943ae4d9714fea8b49ed2f6,Data Scientist
7c42ee6e94523a0283c7ccddbf00e6ab939a44af,Student (STEM) 
76adb687d13273efe60a2eb142fd0b54cb4d44b0,Data Analyst
6c22ff5065676c2781a0af71f613ba63be98a0e1,Other
5e47065aeca47148ebc534e7ad7598cf6d9a3380,Data Scientist
109466c75cc5521c85e4fb7b5afd9fe0c4d5c529,Data Analyst
4061e7627f0f151b5b3d5b807ce45740808234ac,Student (STEM) 
c897bb9317ab3ddfc2ad2771c428b984698bd1c8,Software Engineer
3df80f4fc7a877708a98675af7d22ef4f8456e31,Student (not STEM)
2e536af4adcb91a96669723ddc77b48c557a890c,Software Engineer
85a3a503b8c3ab977fca700a42fa7461be652748,Data Scientist
6aa4b5a71d63b87804bcca1086f9d82580b3eb28,Other
14855eb26a3c55af5afe879afde56a9102980bdd,Data Scientist
900a2cf78e5b22728f8d1b728ea34af109d0529a,Other
9e8bf7837142da13f8ae36c6330da328bc88373a,Data Scientist
da0fb5a313ac6ce2064d949b84862c7c94b1d090,Student (STEM) 
4cd483716a4e339b97b965f2387b40b81a4f52ec,Student (not STEM)
b1419bf5a7a5960d5da14337da7d78a3830ced3b,Data Analyst
