email,time_lectures,time_homework,what
926b1fa33743bbdb5c73cf4622febdfdb6a11126,3,1,homework-1
465b1103bcddd7eb0ea3b2240e31f3aa22a313ff,1,0.5,homework-1
f653bb70051c62cab513ebb400171e7a0de6e1e5,2,1,homework-1
510c636f6e171521b4221e3954299ae982311123,,1,homework-1
9e8bf7837142da13f8ae36c6330da328bc88373a,<1 (playspeed: ~1.8 & skipped many familiar section),<0.2,homework-1
9a9e4dd7d40d14acb3e05f01258c88923d343479,0.2 (skimmed the notes),10m,homework-1
5e7f189738624de0b7c96d6253a3c334195d9361,30 minutes,1.5 hours,homework-1
7145756e5c90c8f76bf5cc7657e803dbf2d5a85f,1,1,homework-1
1c2602a03ff83b16478b9ae81789f539902601ad,2.5,1.5,homework-1
c0ebe8c8c990a5f7945f2596d2e284d9e145af0b,~1h,~1h,homework-1
78fc28143167ee6731a71d99fbc5ace7115874b4,0.5,1,homework-1
de0e2ba227c1ea00ff6f40177f3c72852286b438,1,1,homework-1
76adb687d13273efe60a2eb142fd0b54cb4d44b0,"I already knew this, therefore 0 hours.",30 mins,homework-1
f24d2e4158100ae70807ae9a0d29ec5f926877c1,,,homework-1
c8999221d5e1b99a41bc7a9faf87909dce1c8411,1,0.5,homework-1
875978819280087396da9ab8045fe9d381e15377,2,0.5,homework-1
0f3ac9ea37207f3eb3d724d7abfc345e3693979e,2,1.5,homework-1
01f4bfa5708bd913302e772e03b8256955ba2d5e,3,1,homework-1
c755f82f75d45b88c0d9c4d0dc653dcf9ca821c4,2,1.5,homework-1
6fe22c40ce7e49928d23c515928dada89b04894a,4,1,homework-1
2d810200726c12f793d6855af2bcc7575ed86e83,1,0.5,homework-1
9cc25aa774d2e0ddaf9d32f67b6c1047e8b0115c,2h,30min,homework-1
f0b84a88595340fc6b3362b39884919003da1377,4,1,homework-1
aaa8e228ab33d236f867d2c4d02ac3f4a05957a4,1,1,homework-1
d1c916c6dcec88cbeee01871e971a905adfe3f90,2,,homework-1
94707b43c8bea3c4827c7e63109e487e8ca98975,,"0,5",homework-1
900a2cf78e5b22728f8d1b728ea34af109d0529a,2 hours,1 hour,homework-1
a2dc4c817ee28165e85646042c8925e4a211c130,5,3,homework-1
b8a15bf9b74a7f9212adcb97dda407bd05d191b5,1,1,homework-1
d84c484cbe800e0415bea66daf5239a9f30a4874,2 hours,1 hour,homework-1
dc268c73060888942dd8ca18806f30f727420929,"I don't track but probably 10 hours. I spent a lot of time on reviewing Linear algebra, NumPy and Pandas",2 hours,homework-1
