email,time_lectures,time_homework,what
5bd6445c193f5846a9a57e7e4cfa5f7aa7801caf,3 hours,2,homework-01
8b4ae4641bbc8c2fb65e78c17bdaede38d96d3df,1,0.5,homework-01
d73c866c589d8e35981ee079e055c8b563ed44a7,6,2,homework-01
786611f65a800599690d11dce17bcfc47e8f40e8,1,0.5,homework-01
9a95143eae229931375caa43f791202c1b902687,,,homework-01
3e056495db0abff26e61629b0413b3458f9c94c8,1,0.8,homework-01
4be74b94921246a7e9125b4ff94ab27543f9133a,1,0.5,homework-01
062a4ca7eca7f1ce67830cc8b23a14ebefe572e9,3hrs,15 mins,homework-01
ebe40f00d8490e1d4826ffb6fcd331c830513a0e,6,1,homework-01
afb37782bb0f8fd64bc66f428dfcbca70544e71b,1,1.5,homework-01
fbb61752b39dccde7aa531919754c35c0af325d8,3,1,homework-01
e307efb3095ec657d6571aa8363736e3ba577289,Did not watch the lectures this week as I am familar with basics.,1,homework-01
b3e6a27256dfa9a26d321542ec8c8b44853af5ff,3,1.5,homework-01
f588afbeeb2b84cd42ed1253c192408398f1a157,1,1,homework-01
5c8d4b058ee37c3bf10fa9696772cae7576a1e5e,1,0.5,homework-01
2d0c9dd8e4547d3872cb6ca577ad83de72717fe6,120mins,90mins,homework-01
6cb40052c7d2690cdc2a2585a9b8cd18662b6844,2,2,homework-01
9aa8b153f2182e08866b77de90ee6cbeadc36611,4,1,homework-01
1659c3504c85bec6440928f93ae20ec4e7958226,3,2,homework-01
6eff4507e1e51d2d57bbf466e6b56db8d53c1f32,3,3,homework-01
6d93feb2645516c9f20955c39891756f6ad03d60,1 hour,45 minutes,homework-01
d31423e44a46a89a73c3b3a43a1451c8e204a927,2 hours,45 minutes,homework-01
d40529a2ce45590bbfdd6c8dd9d02f530f1be4d3,3,1,homework-01
d70d4df9f8bd51da79d8ab9dafa4926f78562c1f,2,"1,5",homework-01
76b44a94c13e98780f438868d889d40499619723,,,homework-01
3202ab1dfba14bd67fc70abdc57e5bf9a0927f8e,1,1,homework-01
60055f7429f188e58330dcd451d6ac4682372177,,,homework-01
cfba9f5de927387ebceba0e75a58978c5bae3f72,5,3,homework-01
a94a1630c24c44a97cd8e48174c62889600eba8b,3,1,homework-01
7a435bbe0cba837ac3c205c976698ef89e05464c,1.5,0.5,homework-01
6a6c44d5defebefbd52b35f9500c4d6562ba2df6,,1,homework-01
035dc222582442e690557dbd468e5824fcdd5d07,5,1,homework-01
413762953fbbe3b8bd356feca3d41d48c3ff0ab0,,,homework-01
0d525e88f8a7a48520c1c50e7f57bcdc04b8932d,6,2,homework-01
45951f11da759a435989080f9d59452f29c71b45,1.5,1,homework-01
d95b89d0c74486c11f969944dd4bf5e21f98bb17,1,0.5,homework-01
1d4143eba3e93e402f50fa1923f0dd6cb078060e,3,1,homework-01
af4f890fee1b66da0a8e90ef6f314fd5711293ca,2,0.5,homework-01
ae7221a6004cde34f97876363d9d69eb4dcb3770,5 hours,2 hours,homework-01
8f7bdbe2a7e95419d936afcae3315c18eac906be,3,1,homework-01
5b9b47bbde445fa972ad93546de1e366d724ee95,8,2,homework-01
1487e3227d68822f08b598e4d5a87bbf1f5e250e,,,homework-01
5f39fee62097ec9c9337ee464b8efa1859d53bf6,"5-6 hours maybe, I wasn't really keeping track ",under an hour/an hour of focused work? i didn't do it in one go so i'm not too sure,homework-01
2de3de72509444579fa17b71c6288cf35180bac6,0,2,homework-01
2bbcbaa8a90ecb87eaf95fc68801bc905aedbc15,1,1,homework-01
c614067bb7255f858ec07ed5cce17ee6eb4ff6d1,2,1,homework-01
874a9495dd6c7a5903b815d56228a77f46068d8f,6,1,homework-01
a755daa4d8561c4e55e7bab521b8b31f5726933a,,,homework-01
7f160ce44fb251a100cc54a24ddd755750e4bb78,,,homework-01
b7356d601e29d9ee99692a64935ebfcb8e9bb7af,4,3,homework-01
377c7336a02c176e1fe9bf788ef983cc8d34d957,2,1,homework-01
8f2df9df92bd5165ef60490a6f77ae7ea61605a9,4,2,homework-01
e275d974cfd39edc20e18fc393e603f41ec70cda,2,2,homework-01
d3789360bbbed030a129ae095bb2dc286583e3fb,3,1,homework-01
357c8ce60d3341bc337654b6fbe2466a12e35df1,6,1.5,homework-01
7cf4f1989a0d5eb388ff36e233ff492bedeecd5d,,2,homework-01
074b726d9cd330f203302c97ffc871a972fb04c6,1.5,1,homework-01
4f1904994eb9cc7ca7a31bed7e60fdc27246c480,6,3,homework-01
e6f0ba4d3cc942fd3f38c52239b50ef3c92ea511,4,1,homework-01
340ed08e610a57ce10e8c1dc045038382c2af13f,1,0.5,homework-01
49a453e87d107e3be5fdf36ff704c840d08acc8c,3hours approximately,1 hour,homework-01
c504a4768a927d1b2b5d532556c8758e388831f7,0,2,homework-01
f6bb0aad41867bc9c664b7977708614088cf13a8,2,2,homework-01
e5669b57181e5d714a98872917a97ba05db97b19,5,2,homework-01
4eba0efae07cae9b472bd318f8da9762dbaea6b9,10,2,homework-01
c28851e26d082e1f98d1f4cf1f84815d47a2d9ae,1-2,1,homework-01
7807511273534f358c639cc9df3eddda06994d33,5,1,homework-01
572ae7a476bb1e5673ca851dbc34df50584da138,2,3,homework-01
e49a83134f5df6fd07fff585bddfb263862e4ba7,6,1,homework-01
5cc1513d5243b03702a9f887ff216aeb269e6ac4,5,3,homework-01
ca068cd9ec3beb02061bd74b3ef6d8d6b4a7a6c9,2,1,homework-01
86671728ccb2869eb77384c0ae118b7f52cb3359,3-4,1/2,homework-01
dd5b55ff79bbcc41c2b7b9a2459bed2f1760c470,2,3,homework-01
bcb8ef67167045b82eac20998cd1075fc7c2847f,3,1,homework-01
a6dd5c3210eb83fed9a255acd061d772fe697e88,10,1,homework-01
18308e10ab511a33e802f3003cd6ac116a983b85,3 hours,1 hour,homework-01
dad14cddbeb4d8c4c0f38d864e3b07406c465e48,3 hours,1 hour,homework-01
32d828182e35683d03712e1cd364a5df5f2e370b,3 hours,2 hour,homework-01
f5e09c07fcdcbb9ec646a989a2ac1716a8b7d67b,a lot,5-10 hours,homework-01
ebdd1cb187d4d5eb7796ef2d395636fd280d2a90,4,1,homework-01
49741b9dff2d87b8c7c6ff0c77b3e5579ddb96dd,I spent about 5hrs because is my first time,2hr,homework-01
42b5b5240090356c32e86eef48f9b8bc5e976073,6,1,homework-01
02e6dca8958ce065b203a61b5df61793430ed858,1,1,homework-01
4f38dd98589f8629b352b3bdca90b265a4fb811d,2hrs,3hrs,homework-01
42296012d9bffaf0ab26eb48f6324bb9ff592dbf,1,,homework-01
6032ba237775a1836b9382389f425e418fe21a2a,1,1/2,homework-01
b12e0086ee13b6b8173f106a5bdaa4eadd5f76a3,3,3,homework-01
c50c054f1ebb420db3760c045270f735a0d500ea,,,homework-01
0fa43a12e645314b4fa3c4ac7690534263ddfbf2,3,1,homework-01
3951e17e27df5787ddde466bc1b25eba2f23c527,,,homework-01
7eac78e16ec2318a59a83609c4a57a5970f7075a,4,2,homework-01
d1c020da1617bbd5edde79b68107c9a20c5e50ee,,1,homework-01
92ff2e4f2f7f3aa970058957d5c925dea5774614,,,homework-01
e4d41d7c57e8cb5e555bca469542b566b9873de1,2,1,homework-01
4a9d3289533c719b4ea7d9c83feefc3d270cda5d,6,0.5,homework-01
c7e0b04e479f9a8782584e7f305ec14513c9365f,3 hours,1 hours,homework-01
303858b20635973e599a38cec1966602f6e3ba62,6hrs,3hrs,homework-01
a20c529535aae6eac38e738e6a00cfa91d878698,4,2,homework-01
85d33675b1243bb519fcd3d6fb8c5327db31f194,3hrs 15mins,1 hr,homework-01
dd068f123430248b2d040336aa916161042eb8e0,about 2.5 hours ,less than one hour (~40-50 min),homework-01
c141567ff152fc9fd14edd9453f03cdcdeb9b7e8,,30 minutes,homework-01
2297419deb1668e6aa9850fc689f644568cfcc5f,3:00,1:20,homework-01
e60a3563a342922cafef3c02059c9f90c82f4591,less than 30 mins.,2 hours plus,homework-01
c06a54e52bb0b345a7bf46ce38f39f89626cb9e7,5,1,homework-01
36964a55c1398a9d862098f6cf587a7afd1f0a3f,3,2,homework-01
d25e2dfe3e65ed11b7913215dd1f2797e52865b6,10,0.75,homework-01
11480f1de5eb3d270ebeed0efc2a40b5d1970340,,,homework-01
7670a1cafe0b2f3fc518d9ff731b80d3a6c5a33a,24hrs,1hr,homework-01
e01d8350e21f11eaad8d80bfce8013045bcdf3ac,3,1,homework-01
